Episode #1740  |  Val. Score: -0.60  |  Avg. Val. Score: -0.50  |  Epsilon: 0.380  |  Time elapsed: 932.90s
Episode #1750  |  Val. Score: -0.70  |  Avg. Val. Score: -0.50  |  Epsilon: 0.378  |  Time elapsed: 939.27s
Episode #1760  |  Val. Score: -1.00  |  Avg. Val. Score: -0.50  |  Epsilon: 0.376  |  Time elapsed: 945.30s
Episode #1770  |  Val. Score: -0.80  |  Avg. Val. Score: -0.51  |  Epsilon: 0.374  |  Time elapsed: 953.51s
Episode #1780  |  Val. Score: -0.80  |  Avg. Val. Score: -0.51  |  Epsilon: 0.372  |  Time elapsed: 959.43s
Episode #1790  |  Val. Score: -0.90  |  Avg. Val. Score: -0.51  |  Epsilon: 0.370  |  Time elapsed: 965.15s
Episode #1800  |  Val. Score: -0.80  |  Avg. Val. Score: -0.52  |  Epsilon: 0.368  |  Time elapsed: 972.07s
Checkpoint saved!
Episode #1810  |  Val. Score: -0.70  |  Avg. Val. Score: -0.52  |  Epsilon: 0.367  |  Time elapsed: 977.00s
Episode #1820  |  Val. Score: -0.70  |  Avg. Val. Score: -0.52  |  Epsilon: 0.364  |  Time elapsed: 984.38s
Episode #1830  |  Val. Score: -0.80  |  Avg. Val. Score: -0.52  |  Epsilon: 0.362  |  Time elapsed: 992.45s
Episode #1840  |  Val. Score: -0.70  |  Avg. Val. Score: -0.52  |  Epsilon: 0.360  |  Time elapsed: 998.64s
Episode #1850  |  Val. Score: -0.40  |  Avg. Val. Score: -0.52  |  Epsilon: 0.358  |  Time elapsed: 1004.47s
Episode #1860  |  Val. Score: -0.70  |  Avg. Val. Score: -0.52  |  Epsilon: 0.356  |  Time elapsed: 1010.15s
Episode #1870  |  Val. Score: -0.80  |  Avg. Val. Score: -0.53  |  Epsilon: 0.354  |  Time elapsed: 1016.54s
Episode #1880  |  Val. Score: -0.40  |  Avg. Val. Score: -0.53  |  Epsilon: 0.353  |  Time elapsed: 1021.40s
